test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1017156556_firstPreciserScopeKnowingConditionOutcome_0_basic.dot,1,1,Constant,1.,1.
2,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1099564248_<init>_0_basic.dot,1,1,Constant,1.,1.
3,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1099564248_intersectsLocation_0_basic.dot,2,2,Constant,2.,2.
4,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1099564248_isEmpty_0_basic.dot,2,2,Constant,2.,2.
5,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1099564248_join_0_basic.dot,1,1,Constant,1.,1.
6,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1191139621_effectMaskForVariableReference_0_basic.dot,6,6,Constant,6.,6.
7,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1191139621_findStorageLocationReferences_0_basic.dot,1,1,Constant,1.,1.
8,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1230318108_processGlobalFunctionDeclaration_0_basic.dot,6,8,Constant,8.,8.
9,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1242817181_caseAllType_0_basic.dot,1,1,Constant,1.,1.
10,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1242817181_caseEnumElementType_0_basic.dot,1,1,Constant,1.,1.
11,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1242817181_caseUnionType_0_basic.dot,1,1,Constant,1.,1.
12,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1242817181_caseUnknownType_0_basic.dot,1,1,Constant,1.,1.
13,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1369368644_classDefiningCallsHaveSideEffects_0_basic.dot,1,1,Constant,1.,1.
14,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1369368644_keepSimplifiedHookExpression_0_basic.dot,8,38,Constant,38.,38.
15,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1369368644_keepSimplifiedShortCircuitExpression_0_basic.dot,3,3,Constant,3.,3.
16,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1369368644_keepSubTree_0_basic.dot,1,1,Constant,1.,1.
17,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1369368644_simplifyShortCircuitBranch_0_basic.dot,4,6,Exponential,9.94*2.^(0.25*n),2. + 9.94*2.^(0.25*n)
18,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseBooleanType_0_basic.dot,1,1,Constant,1.,1.
19,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseFunctionType_0_basic.dot,1,1,Constant,1.,1.
20,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseNoObjectType_0_basic.dot,1,1,Constant,1.,1.
21,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseNullType_0_basic.dot,1,1,Constant,1.,1.
22,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseNumberType_0_basic.dot,1,1,Constant,1.,1.
23,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseObjectType_0_basic.dot,1,1,Constant,1.,1.
24,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseStringType_0_basic.dot,1,1,Constant,1.,1.
25,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseTopType_0_basic.dot,3,3,Constant,3.,3.
26,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_caseVoidType_0_basic.dot,1,1,Constant,1.,1.
27,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-14247747_matchesExpectation_0_basic.dot,2,2,Constant,2.,2.
28,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/168509632_caseFunctionType_0_basic.dot,1,1,Constant,1.,1.
29,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/168509632_caseObjectType_0_basic.dot,1,1,Constant,1.,1.
30,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/168509632_caseUnionType_0_basic.dot,1,1,Constant,1.,1.
31,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/168509632_<init>_0_basic.dot,1,1,Constant,1.,1.
32,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1718942148_hasNext_0_basic.dot,1,1,Constant,1.,1.
33,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1718942148_<init>_0_basic.dot,1,1,Constant,1.,1.
34,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1718942148_remove_0_basic.dot,1,1,Constant,1.,1.
35,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-1956536687_extractDeclaration_0_basic.dot,2,2,Constant,2.,2.
36,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1975524368_firstReferenceIsAssigningDeclaration_0_basic.dot,3,3,Constant,3.,3.
37,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/1975524368_getInitializingReferenceForConstants_0_basic.dot,4,4,Polynomial,0.75*n,4.6000000000000005 + 0.75*n
38,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseBooleanType_0_basic.dot,1,1,Constant,1.,1.
39,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseFunctionType_0_basic.dot,1,1,Constant,1.,1.
40,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseNoObjectType_0_basic.dot,1,1,Constant,1.,1.
41,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseNullType_0_basic.dot,1,1,Constant,1.,1.
42,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseNumberType_0_basic.dot,1,1,Constant,1.,1.
43,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseObjectType_0_basic.dot,1,1,Constant,1.,1.
44,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseStringType_0_basic.dot,1,1,Constant,1.,1.
45,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseTopType_0_basic.dot,1,1,Constant,1.,1.
46,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_caseVoidType_0_basic.dot,1,1,Constant,1.,1.
47,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-2093935072_<init>_0_basic.dot,1,1,Constant,1.,1.
48,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-244466273_<init>_0_basic.dot,1,1,Constant,1.,1.
49,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-244466273_intersectsLocation_0_basic.dot,3,3,Constant,3.,3.
50,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-244466273_isEmpty_0_basic.dot,2,2,Constant,2.,2.
51,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/-244466273_join_0_basic.dot,2,2,Constant,2.,2.
52,/home/suja/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath91/335124399_caseBooleanType_0_basic.dot,1,1,Constant,1.,1.
